Voltage (V),Attenuation (dB)
0.000,0.000
0.001,0.000
0.002,0.000
0.004,0.000
0.005,0.000
0.006,0.000
0.007,0.000
0.009,0.000
0.010,0.000
0.011,0.000
0.012,0.000
0.013,0.000
0.015,0.000
0.016,0.000
0.017,0.000
0.018,0.000
0.020,0.000
0.021,0.000
0.022,0.000
0.023,0.000
0.024,0.000
0.026,0.000
0.027,0.000
0.028,0.000
0.029,0.000
0.031,0.000
0.032,0.000
0.033,0.000
0.034,0.000
0.035,0.000
0.037,0.000
0.038,0.000
0.039,0.000
0.040,0.000
0.042,0.000
0.043,0.000
0.044,0.000
0.045,0.000
0.046,0.000
0.048,0.000
0.049,0.000
0.050,0.000
0.051,0.000
0.053,0.000
0.054,0.000
0.055,0.000
0.056,0.000
0.057,0.000
0.059,0.000
0.060,0.000
0.061,0.000
0.062,0.000
0.063,0.000
0.065,0.000
0.066,0.000
0.067,0.000
0.068,0.000
0.070,0.000
0.071,0.000
0.072,0.000
0.073,0.000
0.074,0.000
0.076,0.000
0.077,0.000
0.078,0.000
0.079,0.000
0.081,0.000
0.082,0.000
0.083,0.000
0.084,0.000
0.085,0.000
0.087,0.000
0.088,0.000
0.089,0.000
0.090,0.000
0.092,0.000
0.093,0.000
0.094,0.000
0.095,0.000
0.096,0.000
0.098,0.000
0.099,0.000
0.100,0.000
0.101,0.000
0.103,0.000
0.104,0.000
0.105,0.000
0.106,0.000
0.107,0.000
0.109,0.000
0.110,0.000
0.111,0.000
0.112,0.000
0.114,0.000
0.115,0.000
0.116,0.000
0.117,0.000
0.118,0.000
0.120,0.000
0.121,0.000
0.122,0.000
0.123,0.000
0.125,0.000
0.126,0.000
0.127,0.000
0.128,0.000
0.129,0.000
0.131,0.000
0.132,0.000
0.133,0.000
0.134,0.000
0.136,0.000
0.137,0.000
0.138,0.000
0.139,0.000
0.140,0.000
0.142,0.000
0.143,0.000
0.144,0.000
0.145,0.000
0.147,0.000
0.148,0.000
0.149,0.000
0.150,0.000
0.151,0.000
0.153,0.000
0.154,0.000
0.155,0.000
0.156,0.000
0.158,0.000
0.159,0.000
0.160,0.000
0.161,0.000
0.162,0.000
0.164,0.000
0.165,0.000
0.166,0.000
0.167,0.000
0.168,0.000
0.170,0.000
0.171,0.000
0.172,0.000
0.173,0.000
0.175,0.000
0.176,0.000
0.177,0.000
0.178,0.000
0.179,0.000
0.181,0.000
0.182,0.000
0.183,0.000
0.184,0.000
0.186,0.000
0.187,0.000
0.188,0.000
0.189,0.000
0.190,0.000
0.192,0.000
0.193,0.000
0.194,0.000
0.195,0.000
0.197,0.000
0.198,0.000
0.199,0.000
0.200,0.000
0.201,0.000
0.203,0.000
0.204,0.000
0.205,0.000
0.206,0.000
0.208,0.000
0.209,0.000
0.210,0.000
0.211,0.000
0.212,0.000
0.214,0.000
0.215,0.000
0.216,0.000
0.217,0.000
0.219,0.000
0.220,0.000
0.221,0.000
0.222,0.000
0.223,0.000
0.225,0.000
0.226,0.000
0.227,0.000
0.228,0.000
0.230,0.000
0.231,0.000
0.232,0.000
0.233,0.000
0.234,0.000
0.236,0.000
0.237,0.000
0.238,0.000
0.239,0.000
0.241,0.000
0.242,0.000
0.243,0.000
0.244,0.000
0.245,0.000
0.247,0.000
0.248,0.000
0.249,0.000
0.250,0.000
0.252,0.000
0.253,0.000
0.254,0.000
0.255,0.000
0.256,0.000
0.258,0.000
0.259,0.000
0.260,0.000
0.261,0.000
0.263,0.000
0.264,0.000
0.265,0.000
0.266,0.000
0.267,0.000
0.269,0.000
0.270,0.000
0.271,0.000
0.272,0.000
0.274,0.000
0.275,0.000
0.276,0.000
0.277,0.000
0.278,0.000
0.280,0.000
0.281,0.000
0.282,0.000
0.283,0.000
0.284,0.000
0.286,0.000
0.287,0.000
0.288,0.000
0.289,0.000
0.291,0.000
0.292,0.000
0.293,0.000
0.294,0.000
0.295,0.000
0.297,0.000
0.298,0.000
0.299,0.000
0.300,0.000
0.302,0.000
0.303,0.000
0.304,0.000
0.305,0.000
0.306,0.000
0.308,0.000
0.309,0.000
0.310,0.000
0.311,0.000
0.313,0.000
0.314,0.000
0.315,0.000
0.316,0.000
0.317,0.000
0.319,0.000
0.320,0.000
0.321,0.000
0.322,0.000
0.324,0.000
0.325,0.000
0.326,0.000
0.327,0.000
0.328,0.000
0.330,0.000
0.331,0.000
0.332,0.000
0.333,0.000
0.335,0.000
0.336,0.000
0.337,0.000
0.338,0.000
0.339,0.000
0.341,0.000
0.342,0.000
0.343,0.000
0.344,0.000
0.346,0.000
0.347,0.000
0.348,0.000
0.349,0.000
0.350,0.000
0.352,0.000
0.353,0.000
0.354,0.000
0.355,0.000
0.357,0.000
0.358,0.000
0.359,0.000
0.360,0.000
0.361,0.000
0.363,0.000
0.364,0.000
0.365,0.000
0.366,0.000
0.368,0.000
0.369,0.000
0.370,0.000
0.371,0.000
0.372,0.000
0.374,0.000
0.375,0.000
0.376,0.000
0.377,0.000
0.379,0.000
0.380,0.000
0.381,0.000
0.382,0.000
0.383,0.000
0.385,0.000
0.386,0.000
0.387,0.000
0.388,0.000
0.389,0.000
0.391,0.000
0.392,0.000
0.393,0.000
0.394,0.000
0.396,0.000
0.397,0.000
0.398,0.000
0.399,0.000
0.400,0.000
0.402,0.000
0.403,0.000
0.404,0.000
0.405,0.000
0.407,0.000
0.408,0.000
0.409,0.000
0.410,0.000
0.411,0.000
0.413,0.000
0.414,0.000
0.415,0.000
0.416,0.000
0.418,0.000
0.419,0.000
0.420,0.000
0.421,0.000
0.422,0.000
0.424,0.000
0.425,0.000
0.426,0.000
0.427,0.000
0.429,0.000
0.430,0.000
0.431,0.000
0.432,0.000
0.433,0.000
0.435,0.000
0.436,0.000
0.437,0.000
0.438,0.000
0.440,0.000
0.441,0.000
0.442,0.000
0.443,0.000
0.444,0.000
0.446,0.000
0.447,0.000
0.448,0.000
0.449,0.000
0.451,0.000
0.452,0.000
0.453,0.000
0.454,0.000
0.455,0.000
0.457,0.000
0.458,0.000
0.459,0.000
0.460,0.000
0.462,0.000
0.463,0.000
0.464,0.000
0.465,0.000
0.466,0.000
0.468,0.000
0.469,0.000
0.470,0.000
0.471,0.000
0.473,0.000
0.474,0.000
0.475,0.000
0.476,0.000
0.477,0.000
0.479,0.000
0.480,0.000
0.481,0.000
0.482,0.000
0.484,0.000
0.485,0.000
0.486,0.000
0.487,0.000
0.488,0.000
0.490,0.000
0.491,0.000
0.492,0.000
0.493,0.000
0.495,0.000
0.496,0.000
0.497,0.000
0.498,0.000
0.499,0.000
0.501,0.000
0.502,-0.000
0.503,-0.000
0.504,-0.000
0.505,-0.000
0.507,-0.000
0.508,-0.000
0.509,-0.000
0.510,-0.000
0.512,-0.000
0.513,-0.000
0.514,-0.000
0.515,-0.000
0.516,-0.000
0.518,-0.000
0.519,-0.001
0.520,-0.001
0.521,-0.001
0.523,-0.001
0.524,-0.001
0.525,-0.001
0.526,-0.001
0.527,-0.001
0.529,-0.001
0.530,-0.001
0.531,-0.001
0.532,-0.001
0.534,-0.001
0.535,-0.001
0.536,-0.001
0.537,-0.001
0.538,-0.001
0.540,-0.001
0.541,-0.001
0.542,-0.001
0.543,-0.001
0.545,-0.001
0.546,-0.001
0.547,-0.001
0.548,-0.001
0.549,-0.001
0.551,-0.001
0.552,-0.001
0.553,-0.001
0.554,-0.001
0.556,-0.001
0.557,-0.001
0.558,-0.001
0.559,-0.001
0.560,-0.001
0.562,-0.001
0.563,-0.001
0.564,-0.001
0.565,-0.001
0.567,-0.001
0.568,-0.001
0.569,-0.001
0.570,-0.001
0.571,-0.001
0.573,-0.001
0.574,-0.001
0.575,-0.001
0.576,-0.001
0.578,-0.001
0.579,-0.001
0.580,-0.001
0.581,-0.001
0.582,-0.000
0.584,-0.000
0.585,-0.000
0.586,-0.000
0.587,-0.000
0.589,-0.000
0.590,-0.000
0.591,-0.000
0.592,-0.000
0.593,-0.000
0.595,-0.000
0.596,-0.000
0.597,-0.000
0.598,-0.000
0.600,-0.000
0.601,-0.000
0.602,-0.000
0.603,0.000
0.604,0.000
0.606,0.000
0.607,0.000
0.608,0.000
0.609,0.000
0.611,0.000
0.612,0.000
0.613,0.000
0.614,0.000
0.615,0.000
0.617,0.000
0.618,0.000
0.619,0.001
0.620,0.001
0.621,0.001
0.623,0.001
0.624,0.001
0.625,0.001
0.626,0.001
0.628,0.001
0.629,0.001
0.630,0.001
0.631,0.001
0.632,0.001
0.634,0.001
0.635,0.001
0.636,0.001
0.637,0.001
0.639,0.001
0.640,0.001
0.641,0.001
0.642,0.001
0.643,0.001
0.645,0.002
0.646,0.002
0.647,0.002
0.648,0.002
0.650,0.002
0.651,0.002
0.652,0.002
0.653,0.002
0.654,0.002
0.656,0.002
0.657,0.002
0.658,0.002
0.659,0.002
0.661,0.002
0.662,0.002
0.663,0.002
0.664,0.002
0.665,0.002
0.667,0.002
0.668,0.002
0.669,0.002
0.670,0.002
0.672,0.002
0.673,0.002
0.674,0.002
0.675,0.002
0.676,0.002
0.678,0.002
0.679,0.002
0.680,0.003
0.681,0.003
0.683,0.003
0.684,0.003
0.685,0.003
0.686,0.003
0.687,0.003
0.689,0.003
0.690,0.003
0.691,0.003
0.692,0.003
0.694,0.003
0.695,0.003
0.696,0.003
0.697,0.003
0.698,0.003
0.700,0.003
0.701,0.003
0.702,0.004
0.703,0.004
0.705,0.004
0.706,0.004
0.707,0.004
0.708,0.004
0.709,0.004
0.711,0.004
0.712,0.004
0.713,0.004
0.714,0.004
0.716,0.004
0.717,0.004
0.718,0.004
0.719,0.005
0.720,0.005
0.722,0.005
0.723,0.005
0.724,0.005
0.725,0.005
0.726,0.005
0.728,0.005
0.729,0.005
0.730,0.005
0.731,0.005
0.733,0.005
0.734,0.006
0.735,0.006
0.736,0.006
0.737,0.006
0.739,0.006
0.740,0.006
0.741,0.006
0.742,0.006
0.744,0.006
0.745,0.006
0.746,0.006
0.747,0.006
0.748,0.007
0.750,0.007
0.751,0.007
0.752,0.007
0.753,0.007
0.755,0.007
0.756,0.007
0.757,0.007
0.758,0.007
0.759,0.007
0.761,0.007
0.762,0.007
0.763,0.007
0.764,0.007
0.766,0.007
0.767,0.008
0.768,0.008
0.769,0.008
0.770,0.008
0.772,0.008
0.773,0.008
0.774,0.008
0.775,0.008
0.777,0.008
0.778,0.008
0.779,0.008
0.780,0.008
0.781,0.009
0.783,0.009
0.784,0.009
0.785,0.009
0.786,0.009
0.788,0.009
0.789,0.009
0.790,0.009
0.791,0.009
0.792,0.009
0.794,0.009
0.795,0.010
0.796,0.010
0.797,0.010
0.799,0.010
0.800,0.010
0.801,0.010
0.802,0.010
0.803,0.010
0.805,0.010
0.806,0.010
0.807,0.011
0.808,0.011
0.810,0.011
0.811,0.011
0.812,0.011
0.813,0.011
0.814,0.011
0.816,0.011
0.817,0.011
0.818,0.012
0.819,0.012
0.821,0.012
0.822,0.012
0.823,0.012
0.824,0.012
0.825,0.012
0.827,0.012
0.828,0.012
0.829,0.012
0.830,0.013
0.832,0.013
0.833,0.013
0.834,0.013
0.835,0.013
0.836,0.013
0.838,0.013
0.839,0.013
0.840,0.013
0.841,0.013
0.842,0.013
0.844,0.013
0.845,0.014
0.846,0.014
0.847,0.014
0.849,0.014
0.850,0.014
0.851,0.014
0.852,0.014
0.853,0.014
0.855,0.014
0.856,0.014
0.857,0.015
0.858,0.015
0.860,0.015
0.861,0.015
0.862,0.015
0.863,0.015
0.864,0.015
0.866,0.015
0.867,0.015
0.868,0.016
0.869,0.016
0.871,0.016
0.872,0.016
0.873,0.016
0.874,0.016
0.875,0.016
0.877,0.016
0.878,0.017
0.879,0.017
0.880,0.017
0.882,0.017
0.883,0.017
0.884,0.017
0.885,0.017
0.886,0.017
0.888,0.017
0.889,0.018
0.890,0.018
0.891,0.018
0.893,0.018
0.894,0.018
0.895,0.018
0.896,0.018
0.897,0.018
0.899,0.018
0.900,0.018
0.901,0.018
0.902,0.019
0.904,0.019
0.905,0.019
0.906,0.019
0.907,0.019
0.908,0.019
0.910,0.019
0.911,0.019
0.912,0.019
0.913,0.019
0.915,0.019
0.916,0.020
0.917,0.020
0.918,0.020
0.919,0.020
0.921,0.020
0.922,0.020
0.923,0.020
0.924,0.020
0.926,0.020
0.927,0.020
0.928,0.021
0.929,0.021
0.930,0.021
0.932,0.021
0.933,0.021
0.934,0.021
0.935,0.021
0.937,0.022
0.938,0.022
0.939,0.022
0.940,0.022
0.941,0.022
0.943,0.022
0.944,0.022
0.945,0.023
0.946,0.023
0.947,0.023
0.949,0.023
0.950,0.023
0.951,0.023
0.952,0.023
0.954,0.023
0.955,0.024
0.956,0.024
0.957,0.024
0.958,0.024
0.960,0.024
0.961,0.024
0.962,0.024
0.963,0.025
0.965,0.025
0.966,0.025
0.967,0.025
0.968,0.025
0.969,0.025
0.971,0.026
0.972,0.026
0.973,0.026
0.974,0.026
0.976,0.026
0.977,0.026
0.978,0.027
0.979,0.027
0.980,0.027
0.982,0.027
0.983,0.027
0.984,0.027
0.985,0.028
0.987,0.028
0.988,0.028
0.989,0.028
0.990,0.028
0.991,0.028
0.993,0.029
0.994,0.029
0.995,0.029
0.996,0.029
0.998,0.029
0.999,0.029
1.000,0.029
1.001,0.030
1.002,0.030
1.004,0.030
1.005,0.030
1.006,0.030
1.007,0.030
1.009,0.031
1.010,0.031
1.011,0.031
1.012,0.031
1.013,0.031
1.015,0.031
1.016,0.031
1.017,0.032
1.018,0.032
1.020,0.032
1.021,0.032
1.022,0.032
1.023,0.032
1.024,0.033
1.026,0.033
1.027,0.033
1.028,0.033
1.029,0.033
1.031,0.034
1.032,0.034
1.033,0.034
1.034,0.034
1.035,0.034
1.037,0.035
1.038,0.035
1.039,0.035
1.040,0.035
1.042,0.035
1.043,0.035
1.044,0.036
1.045,0.036
1.046,0.036
1.048,0.036
1.049,0.036
1.050,0.036
1.051,0.037
1.053,0.037
1.054,0.037
1.055,0.037
1.056,0.037
1.057,0.038
1.059,0.038
1.060,0.038
1.061,0.038
1.062,0.038
1.063,0.038
1.065,0.039
1.066,0.039
1.067,0.039
1.068,0.039
1.070,0.039
1.071,0.040
1.072,0.040
1.073,0.040
1.074,0.040
1.076,0.040
1.077,0.040
1.078,0.041
1.079,0.041
1.081,0.041
1.082,0.041
1.083,0.041
1.084,0.042
1.085,0.042
1.087,0.042
1.088,0.042
1.089,0.042
1.090,0.043
1.092,0.043
1.093,0.043
1.094,0.043
1.095,0.044
1.096,0.044
1.098,0.044
1.099,0.044
1.100,0.044
1.101,0.045
1.103,0.045
1.104,0.045
1.105,0.045
1.106,0.046
1.107,0.046
1.109,0.046
1.110,0.046
1.111,0.046
1.112,0.047
1.114,0.047
1.115,0.047
1.116,0.047
1.117,0.048
1.118,0.048
1.120,0.048
1.121,0.048
1.122,0.049
1.123,0.049
1.125,0.049
1.126,0.049
1.127,0.049
1.128,0.050
1.129,0.050
1.131,0.050
1.132,0.050
1.133,0.051
1.134,0.051
1.136,0.051
1.137,0.051
1.138,0.052
1.139,0.052
1.140,0.052
1.142,0.052
1.143,0.053
1.144,0.053
1.145,0.053
1.147,0.053
1.148,0.053
1.149,0.054
1.150,0.054
1.151,0.054
1.153,0.054
1.154,0.055
1.155,0.055
1.156,0.055
1.158,0.055
1.159,0.056
1.160,0.056
1.161,0.056
1.162,0.056
1.164,0.057
1.165,0.057
1.166,0.057
1.167,0.057
1.168,0.058
1.170,0.058
1.171,0.058
1.172,0.058
1.173,0.059
1.175,0.059
1.176,0.059
1.177,0.059
1.178,0.059
1.179,0.060
1.181,0.060
1.182,0.060
1.183,0.061
1.184,0.061
1.186,0.061
1.187,0.061
1.188,0.062
1.189,0.062
1.190,0.062
1.192,0.063
1.193,0.063
1.194,0.063
1.195,0.064
1.197,0.064
1.198,0.064
1.199,0.064
1.200,0.065
1.201,0.065
1.203,0.065
1.204,0.065
1.205,0.066
1.206,0.066
1.208,0.066
1.209,0.067
1.210,0.067
1.211,0.067
1.212,0.067
1.214,0.068
1.215,0.068
1.216,0.068
1.217,0.069
1.219,0.069
1.220,0.069
1.221,0.070
1.222,0.070
1.223,0.070
1.225,0.070
1.226,0.071
1.227,0.071
1.228,0.071
1.230,0.071
1.231,0.072
1.232,0.072
1.233,0.072
1.234,0.073
1.236,0.073
1.237,0.073
1.238,0.074
1.239,0.074
1.241,0.074
1.242,0.074
1.243,0.075
1.244,0.075
1.245,0.075
1.247,0.076
1.248,0.076
1.249,0.076
1.250,0.076
1.252,0.077
1.253,0.077
1.254,0.077
1.255,0.078
1.256,0.078
1.258,0.078
1.259,0.079
1.260,0.079
1.261,0.079
1.263,0.080
1.264,0.080
1.265,0.080
1.266,0.081
1.267,0.081
1.269,0.081
1.270,0.082
1.271,0.082
1.272,0.082
1.274,0.083
1.275,0.083
1.276,0.083
1.277,0.083
1.278,0.083
1.280,0.084
1.281,0.084
1.282,0.084
1.283,0.085
1.284,0.085
1.286,0.086
1.287,0.086
1.288,0.086
1.289,0.087
1.291,0.087
1.292,0.087
1.293,0.088
1.294,0.088
1.295,0.088
1.297,0.089
1.298,0.089
1.299,0.089
1.300,0.090
1.302,0.090
1.303,0.091
1.304,0.091
1.305,0.091
1.306,0.092
1.308,0.092
1.309,0.092
1.310,0.093
1.311,0.093
1.313,0.093
1.314,0.094
1.315,0.094
1.316,0.095
1.317,0.095
1.319,0.095
1.320,0.096
1.321,0.096
1.322,0.096
1.324,0.097
1.325,0.097
1.326,0.098
1.327,0.098
1.328,0.098
1.330,0.099
1.331,0.099
1.332,0.100
1.333,0.100
1.335,0.100
1.336,0.101
1.337,0.101
1.338,0.102
1.339,0.102
1.341,0.102
1.342,0.103
1.343,0.103
1.344,0.104
1.346,0.104
1.347,0.104
1.348,0.105
1.349,0.105
1.350,0.106
1.352,0.106
1.353,0.106
1.354,0.107
1.355,0.107
1.357,0.108
1.358,0.108
1.359,0.108
1.360,0.109
1.361,0.109
1.363,0.110
1.364,0.110
1.365,0.109
1.366,0.110
1.368,0.110
1.369,0.111
1.370,0.111
1.371,0.112
1.372,0.112
1.374,0.112
1.375,0.113
1.376,0.113
1.377,0.114
1.379,0.114
1.380,0.115
1.381,0.115
1.382,0.116
1.383,0.116
1.385,0.117
1.386,0.117
1.387,0.118
1.388,0.118
1.389,0.118
1.391,0.119
1.392,0.119
1.393,0.120
1.394,0.120
1.396,0.121
1.397,0.121
1.398,0.122
1.399,0.122
1.400,0.122
1.402,0.123
1.403,0.123
1.404,0.124
1.405,0.124
1.407,0.125
1.408,0.125
1.409,0.126
1.410,0.126
1.411,0.127
1.413,0.127
1.414,0.127
1.415,0.128
1.416,0.128
1.418,0.129
1.419,0.129
1.420,0.130
1.421,0.130
1.422,0.131
1.424,0.131
1.425,0.132
1.426,0.132
1.427,0.133
1.429,0.133
1.430,0.134
1.431,0.134
1.432,0.135
1.433,0.135
1.435,0.136
1.436,0.136
1.437,0.137
1.438,0.137
1.440,0.138
1.441,0.138
1.442,0.139
1.443,0.139
1.444,0.140
1.446,0.140
1.447,0.141
1.448,0.141
1.449,0.142
1.451,0.142
1.452,0.143
1.453,0.144
1.454,0.144
1.455,0.145
1.457,0.145
1.458,0.146
1.459,0.146
1.460,0.147
1.462,0.147
1.463,0.148
1.464,0.148
1.465,0.149
1.466,0.149
1.468,0.150
1.469,0.150
1.470,0.151
1.471,0.151
1.473,0.152
1.474,0.153
1.475,0.153
1.476,0.154
1.477,0.154
1.479,0.155
1.480,0.155
1.481,0.156
1.482,0.156
1.484,0.157
1.485,0.157
1.486,0.158
1.487,0.159
1.488,0.159
1.490,0.160
1.491,0.160
1.492,0.161
1.493,0.161
1.495,0.162
1.496,0.162
1.497,0.163
1.498,0.163
1.499,0.164
1.501,0.165
1.502,0.165
1.503,0.166
1.504,0.166
1.505,0.167
1.507,0.167
1.508,0.168
1.509,0.169
1.510,0.169
1.512,0.170
1.513,0.170
1.514,0.171
1.515,0.172
1.516,0.172
1.518,0.173
1.519,0.173
1.520,0.174
1.521,0.174
1.523,0.175
1.524,0.175
1.525,0.176
1.526,0.177
1.527,0.177
1.529,0.178
1.530,0.178
1.531,0.179
1.532,0.180
1.534,0.180
1.535,0.181
1.536,0.181
1.537,0.182
1.538,0.183
1.540,0.183
1.541,0.184
1.542,0.184
1.543,0.185
1.545,0.186
1.546,0.186
1.547,0.187
1.548,0.187
1.549,0.188
1.551,0.189
1.552,0.189
1.553,0.190
1.554,0.191
1.556,0.191
1.557,0.192
1.558,0.192
1.559,0.193
1.560,0.194
1.562,0.194
1.563,0.195
1.564,0.195
1.565,0.196
1.567,0.197
1.568,0.197
1.569,0.198
1.570,0.199
1.571,0.199
1.573,0.200
1.574,0.200
1.575,0.201
1.576,0.202
1.578,0.202
1.579,0.203
1.580,0.204
1.581,0.204
1.582,0.205
1.584,0.206
1.585,0.206
1.586,0.207
1.587,0.208
1.589,0.208
1.590,0.209
1.591,0.209
1.592,0.210
1.593,0.211
1.595,0.211
1.596,0.212
1.597,0.213
1.598,0.213
1.600,0.214
1.601,0.215
1.602,0.215
1.603,0.216
1.604,0.217
1.606,0.217
1.607,0.218
1.608,0.219
1.609,0.219
1.611,0.220
1.612,0.221
1.613,0.221
1.614,0.222
1.615,0.223
1.617,0.223
1.618,0.224
1.619,0.225
1.620,0.225
1.621,0.226
1.623,0.227
1.624,0.227
1.625,0.228
1.626,0.229
1.628,0.230
1.629,0.230
1.630,0.231
1.631,0.232
1.632,0.232
1.634,0.233
1.635,0.234
1.636,0.235
1.637,0.235
1.639,0.236
1.640,0.237
1.641,0.237
1.642,0.238
1.643,0.239
1.645,0.239
1.646,0.240
1.647,0.241
1.648,0.242
1.650,0.242
1.651,0.243
1.652,0.244
1.653,0.245
1.654,0.245
1.656,0.246
1.657,0.247
1.658,0.247
1.659,0.248
1.661,0.249
1.662,0.250
1.663,0.250
1.664,0.251
1.665,0.252
1.667,0.253
1.668,0.253
1.669,0.254
1.670,0.255
1.672,0.256
1.673,0.256
1.674,0.257
1.675,0.258
1.676,0.259
1.678,0.259
1.679,0.260
1.680,0.261
1.681,0.262
1.683,0.262
1.684,0.263
1.685,0.264
1.686,0.265
